Date,Open,High,Low,Close,Adj Close,Volume
2020-09-01,33.150002,33.590000,32.919998,33.209999,31.606129,12354600
2020-09-02,33.250000,33.369999,32.740002,33.250000,31.644203,9844600
2020-09-03,33.189999,34.790001,33.110001,33.770000,32.139095,29833900
2020-09-04,34.099998,34.369999,33.330002,33.950001,32.310394,20865000
2020-09-08,33.540001,33.689999,33.070000,33.259998,31.653715,13460400
2020-09-09,33.580002,33.720001,32.959999,33.220001,31.615650,12591200
2020-09-10,33.139999,33.490002,32.439999,32.529999,30.958975,13387400
2020-09-11,32.580002,32.689999,31.719999,32.000000,30.454569,14710600
2020-09-14,32.220001,32.590000,31.700001,32.360001,30.896498,11011900
2020-09-15,32.599998,32.599998,31.870001,31.990000,30.543232,11585100
2020-09-16,32.090000,32.619999,32.009998,32.090000,30.638708,13814800
2020-09-17,31.809999,32.290001,31.700001,32.150002,30.695992,10209500
2020-09-18,31.950001,32.020000,31.150000,31.340000,29.922628,15967500
2020-09-21,30.709999,31.129999,30.410000,30.879999,29.483431,13418000
2020-09-22,30.850000,31.680000,30.680000,30.820000,29.426146,10734300
2020-09-23,30.850000,30.940001,30.070000,30.180000,28.815090,12768300
2020-09-24,30.180000,30.900000,29.910000,30.420000,29.044237,15943300
2020-09-25,30.240000,30.480000,29.969999,30.299999,28.929663,9350100
2020-09-28,30.700001,31.770000,30.120001,30.510000,29.130165,30583200
2020-09-29,30.459999,30.680000,29.750000,29.760000,28.414085,18462900
2020-09-30,29.990000,30.110001,29.469999,29.620001,28.280418,14197000
2020-10-01,29.820000,29.900000,29.160000,29.790001,28.442730,12008700
2020-10-02,29.410000,30.740000,29.309999,29.709999,28.366343,16976600
2020-10-05,29.900000,30.379999,29.340000,30.230000,28.862827,12546800
2020-10-06,30.510000,30.799999,29.879999,30.030001,28.671871,10742500
2020-10-07,30.200001,30.440001,29.730000,29.809999,28.461823,12409900
2020-10-08,29.910000,31.490000,29.650000,31.250000,29.836699,18198100
2020-10-09,31.110001,31.670000,30.629999,31.040001,29.636194,13876600
2020-10-13,31.080000,31.430000,30.680000,31.049999,29.645744,10799300
2020-10-14,31.110001,31.530001,30.850000,30.850000,29.454788,10373800
2020-10-15,30.450001,31.440001,30.219999,31.059999,29.655291,12754200
2020-10-16,30.910000,31.020000,30.250000,30.270000,28.901020,12579700
2020-10-19,30.420000,31.170000,30.309999,30.600000,29.216097,15590100
2020-10-20,30.920000,32.040001,30.920000,32.009998,30.562326,21592700
2020-10-21,31.940001,32.470001,31.799999,32.250000,30.791473,16204800
2020-10-22,32.110001,33.680000,32.049999,33.650002,32.128159,30028100
2020-10-23,33.669998,34.290001,33.330002,33.529999,32.013584,19088500
2020-10-26,33.340000,33.830002,32.860001,33.500000,31.984943,14370500
2020-10-27,33.790001,34.099998,32.540001,32.779999,31.297503,15328900
2020-10-28,31.950001,32.040001,31.100000,31.139999,29.731670,15388500
